target,step,module,model_head,candidate,n_components,cv_n,cv_rmse,cv_mae,cv_bias,cv_r2,cv_spearman_r,cv_rounded_within_1_step_pct,cv_rounded_over_1_step_pct,cv_tolerance_loss,cv_step_mse,cv_step_mae,cv_low_n,cv_low_rmse,first_n,process_weight,logistic_c,pooling
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls10_ptime0_C1_poolprob_mean,10,46,1.132523154576618,0.8043478260869565,-0.2826086956521739,0.7797792924375202,0.9094974466710436,84.78260869565217,15.217391304347828,0.34673913043478266,1.2826086956521738,0.8043478260869565,27,1.1547005383792515,15.0,0.0,1.0,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls6_ptime0_C1_poolprob_mean,6,46,1.179535649239177,0.8695652173913043,-0.21739130434782608,0.7611165206101914,0.9060464780448215,78.26086956521739,21.73913043478261,0.35217391304347834,1.391304347826087,0.8695652173913043,27,1.0886621079036347,15.0,0.0,1.0,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls8_ptime0_C0p3_poolprob_mean,8,46,1.224744871391589,0.9347826086956522,-0.32608695652173914,0.7424537487828626,0.8973927001037372,80.43478260869566,19.565217391304348,0.4010869565217392,1.5,0.9347826086956522,27,1.1385500851066221,15.0,0.0,0.3,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls10_ptime0_C0p3_poolprob_mean,10,46,1.2335879094879225,0.9565217391304348,-0.34782608695652173,0.7387211944173969,0.8972854819358442,80.43478260869566,19.565217391304348,0.4021739130434783,1.5217391304347827,0.9565217391304348,27,1.2171612389003692,15.0,0.0,0.3,prob_mean
eHA,H1,P0 + HA-aware readout,ordinal-threshold probability,eHA_H1_first15_pls6_ptime0_C0p3_poolprob_mean,6,46,1.2423680054112651,0.9347826086956522,-0.2391304347826087,0.7349886400519312,0.8847940706879915,78.26086956521739,21.73913043478261,0.4250000000000001,1.5434782608695652,0.9347826086956522,27,1.1221672153735642,15.0,0.0,0.3,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls10_ptime0p5_C3_poolprob_mean,10,46,1.0,0.782608695652174,-0.21739130434782608,0.8283024991885751,0.9282717191372855,89.13043478260869,10.869565217391305,0.15869565217391304,1.0,0.782608695652174,27,1.0363754503432017,15.0,0.5,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls8_ptime0p25_C1_poolprob_mean,8,46,1.03209369308428,0.8043478260869565,-0.2391304347826087,0.8171048360921778,0.925778242974168,86.95652173913044,13.043478260869565,0.18369565217391307,1.065217391304348,0.8043478260869565,27,1.0540925533894598,15.0,0.25,1.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls8_ptime0p5_C0p3_poolprob_mean,8,46,1.06321906614239,0.8695652173913043,-0.21739130434782608,0.8059071729957805,0.9221731167056222,86.95652173913044,13.043478260869565,0.18695652173913044,1.1304347826086956,0.8695652173913043,27,1.0540925533894598,15.0,0.5,0.3,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls10_ptime0p5_C1_poolprob_mean,10,46,1.06321906614239,0.8695652173913043,-0.21739130434782608,0.8059071729957805,0.9172751418639459,86.95652173913044,13.043478260869565,0.18695652173913047,1.1304347826086956,0.8695652173913043,27,1.1221672153735642,15.0,0.5,1.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls8_ptime0p5_C1_poolprob_mean,8,46,1.0834726777719228,0.8695652173913043,-0.21739130434782608,0.7984420642648491,0.913848495432862,84.78260869565217,15.217391304347828,0.21086956521739134,1.173913043478261,0.8695652173913043,27,1.0886621079036347,15.0,0.5,1.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls6_ptime0p25_C3_poolprob_mean,6,46,1.0108111250054497,0.717391304347826,-0.2391304347826087,0.8245699448231094,0.9301105263544547,89.13043478260869,10.869565217391305,0.22500000000000012,1.0217391304347827,0.717391304347826,27,0.9622504486493763,15.0,0.25,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls8_ptime0p5_C3_poolprob_mean,8,46,1.0425720702853738,0.782608695652174,-0.17391304347826086,0.813372281726712,0.9171728746862778,89.13043478260869,10.869565217391305,0.22826086956521746,1.0869565217391304,0.782608695652174,27,1.0363754503432017,15.0,0.5,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls10_ptime0p5_C0p3_poolprob_mean,10,46,1.122884484360431,0.9130434782608695,-0.21739130434782608,0.783511846802986,0.9033771422305588,82.6086956521739,17.391304347826086,0.23695652173913048,1.2608695652173914,0.9130434782608695,27,1.1706281947614154,15.0,0.5,0.3,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls10_ptime0p25_C3_poolprob_mean,10,46,1.0529461772445508,0.7608695652173914,-0.1956521739130435,0.8096397273612463,0.9200485336770525,86.95652173913044,13.043478260869565,0.2510869565217391,1.108695652173913,0.7608695652173914,27,1.1547005383792515,15.0,0.25,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls8_ptime0p25_C3_poolprob_mean,8,46,1.0733936430981312,0.8043478260869565,-0.1956521739130435,0.8021746186303148,0.9159501975227798,86.95652173913044,13.043478260869565,0.25326086956521743,1.1521739130434783,0.8043478260869565,27,1.0540925533894598,15.0,0.25,3.0,prob_mean
eHA,H2,P0 + process-time + HA-aware readout,ordinal-threshold probability,eHA_H2_first15_pls6_ptime0p25_C1_poolprob_mean,6,46,1.0834726777719228,0.8260869565217391,-0.2608695652173913,0.7984420642648491,0.9227352285390937,86.95652173913044,13.043478260869565,0.2543478260869566,1.173913043478261,0.8260869565217391,27,1.0363754503432017,15.0,0.25,1.0,prob_mean
